
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
65=	Ed Woodvine		Bristol A	78	78	79	81	78	76	77	81	76	704	78.22	1.75
65=	Georgia Bentley		Edinburgh B	78	81	77	77	81	80	75	77	78	704	78.22	1.93
65=	Tom Kusonsuphanimit		Manchester A	76	77	79	77	79	84	74	77	81	704	78.22	2.78
65=	Yarin Samuel	ESL	Open A	75	77	79	77	81	77	80	77	81	704	78.22	1.99
65=	Victor Bervoets	ESL	Vienna B	79	80	81	75	76	77	81	77	78	704	78.22	2.04
70=	Ananya Venkatesan		Glasgow D	77	80	76	77	80	77	82	78	76	703	78.11	1.97
70=	Eyal Horowitz	ESL	Tel Aviv B	76	81	78	81	78	81	75	79	74	703	78.11	2.51
72=	Maj Hrovatin	ESL	Ljubljana D	80	77	78	81	78	78	77	79	74	702	78.00	1.89
72=	William Smith		St. Andrews A	77	73	78	79	78	79	80	76	82	702	78.00	2.40
72=	Alastair Bowyer		St. Andrews B	76	80	77	80	82	73	78	78	78	702	78.00	2.45
72=	Maya Hollander	ESL	Tel Aviv C	78	79	80	79	79	76	79	75	77	702	78.00	1.56
72=	Lara-Nika Holjevac Stasiow	ESL	Zagreb C	77	79	77	80	75	74	82	80	78	702	78.00	2.40
72=	Mislav Mikota	ESL	Zagreb C	75	78	76	80	76	76	81	82	78	702	78.00	2.36
78=	Karen Chen		Cambridge B	81	80	77	76	80	77	78	75	77	701	77.89	1.91
78=	Martin Horák	ESL	NSDV Trivium A	78	77	77	79	78	78	80	78	76	701	77.89	1.10
78=	Gabrijela Papec	ESL	Sciences Po Reims A	76	78	77	80	76	79	80	79	76	701	77.89	1.59
78=	Cara Shepherd		St. Andrews B	77	78	78	78	82	74	78	79	77	701	77.89	1.97
82=	Bernd Wong		Cambridge B	80	81	76	76	78	78	78	75	78	700	77.78	1.81
82=	Joseph Hutchison		Glasgow C	76	81	75	81	79	75	77	81	75	700	77.78	2.57
82=	Igor Pemberton	ESL	UCL A	77	77	78	78	81	77	76	79	77	700	77.78	1.40
82=	Han-Wei Low		UCL C	80	79	77	81	76	80	77	74	76	700	77.78	2.20
82=	Lovro Marušić	ESL	Zagreb D	76	77	78	79	79	75	78	81	77	700	77.78	1.69
82=	Rina Baljak	ESL	Zagreb D	77	77	79	79	79	75	77	80	77	700	77.78	1.47
88	Josh Kemp		LSE E	82	79	74	78	70	83	80	79	74	699	77.67	3.97
89=	Teja Sapač	ESL	Ljubljana D	79	76	77	81	77	77	76	80	75	698	77.56	1.89
89=	Fiachra Nolan		UCD LawSoc A	79	81	77	75	75	81	76	77	77	698	77.56	2.17
91=	Kai Zhang	ESL	Copenhagen A	77	80	76	78	78	82	74	74	77	696	77.33	2.45
91=	Sharath Nambiar		Glasgow B	79	79	70	75	77	78	79	82	77	696	77.33	3.16
91=	Judah Purwanto	ESL	UCL A	76	77	78	76	80	79	76	78	76	696	77.33	1.41
94=	Adya Manoj		Oxford D	75	75	80	79	74	76	78	79	79	695	77.22	2.10
94=	Ilija Dragić	ESL	PEP A	75	79	77	79	78	76	78	76	77	695	77.22	1.31
94=	Kam Chi Yan	ESL	Sheffield A	76	80	79	75	78	77	75	77	78	695	77.22	1.62
94=	Aimee Bebbington		St. Andrews A	77	72	77	80	77	78	79	76	79	695	77.22	2.20
98=	Theodora Mocanasu	ESL	Manchester A	75	75	80	76	77	84	72	75	80	694	77.11	3.41
98=	Dragan Dživdžanović	ESL	PEP A	76	77	77	78	79	76	80	75	76	694	77.11	1.52
98=	David Wolfe		TCD Hist A	80	73	79	77	76	77	76	78	78	694	77.11	1.91
98=	Umar Buckus		UCL B	80	76	78	76	77	77	74	79	77	694	77.11	1.66
98=	Christian DaSilva		UCL C	79	76	76	80	76	81	77	74	75	694	77.11	2.23
103=	Savannah McNamara		Glasgow C	77	82	75	76	77	76	77	78	75	693	77.00	2.00
103=	Alyssa Mills		Glasgow D	77	79	74	77	79	76	80	77	74	693	77.00	2.00
103=	Hannah Edwards		Oxford E	80	78	78	78	80	69	77	77	76	693	77.00	3.09
103=	Au Pak Hei	ESL	Sheffield A	76	80	79	75	77	76	75	78	77	693	77.00	1.63
103=	Shane Tully		UCD L&amp;H A	76	75	79	77	75	76	81	75	79	693	77.00	2.05
103=	Ishayu Nath		UCL B	79	78	77	77	77	76	74	77	78	693	77.00	1.33
103=	Manca Rakun	ESL	UCL D	79	79	76	76	77	78	77	74	77	693	77.00	1.49
110=	Sundar Karthick Vellaiyappan		Cambridge C	75	73	70	77	79	83	78	78	79	692	76.89	3.57
110=	Jamie Smallbone		Durham A	77	73	79	79	80	75	72	81	76	692	76.89	2.96
110=	Matthew Midlane		Durham A	78	74	79	80	81	73	71	80	76	692	76.89	3.35
110=	Daniel Stiebel		Open B	77	77	77	74	80	77	75	80	75	692	76.89	1.97
110=	Adrianne May Ward		UCD L&amp;H A	77	75	79	78	75	76	80	74	78	692	76.89	1.91
115=	Laura Serafine Schwaner Pilmark		Copenhagen A	78	80	74	79	77	78	72	75	78	691	76.78	2.44
115=	Katalina Collison		KCL B	76	81	79	74	75	75	76	79	76	691	76.78	2.20
115=	Peter Wu		Oxford E	78	78	75	80	80	70	78	77	75	691	76.78	2.94
115=	Omar Shalabby	ESL	Reichman A	74	79	77	79	78	75	75	78	76	691	76.78	1.75
115=	Reja Debevc	ESL	Rhetorica A	76	78	74	79	74	77	76	79	78	691	76.78	1.81
