
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
204	Colgate C		3rd	1st	4th	3rd	4th	1st	4th	2nd	3rd	11	1333	2	1	3	0
205	Vermont C		3rd	2nd	2nd	3rd	4th	2nd	4th	1st	4th	11	1331	1	3	2	0
206	Waterloo A		4th	1st	4th	3rd	1st	4th	4th	2nd	2nd	11	1325	2	2	1	0
207	Wheaton B		4th	4th	3rd	1st	4th	2nd	4th	2nd	1st	11	1321	2	2	1	0
208	SMU B		3rd	2nd	4th	2nd	4th	2nd	4th	3rd	1st	11	1318	1	3	2	0
209	TAU C	ESL	2nd	4th	1st	4th	1st	4th	4th	4th	2nd	10	1379	2	2	0	0
210	UCL B		4th	1st	4th	1st	3rd	4th	1st	4th	4th	10	1372	3	0	1	0
211	LSE C		2nd	4th	1st	3rd	3rd	2nd	4th	4th	3rd	10	1370	1	2	3	0
212	Diponegoro A	ESL, EFL	1st	4th	4th	1st	4th	4th	3rd	1st	4th	10	1367	3	0	1	0
213	BUET B	ESL, EFL	2nd	4th	3rd	4th	3rd	2nd	1st	4th	3rd	10	1351	1	2	3	0
214	TCD Hist C		4th	3rd	2nd	2nd	4th	3rd	3rd	4th	1st	10	1346	1	2	3	0
215	Strathmore A	ESL	4th	2nd	4th	2nd	4th	1st	4th	4th	1st	10	1343	2	2	0	0
216	Vermont A		4th	1st	3rd	4th	4th	1st	3rd	2nd	4th	10	1342	2	1	2	0
217	Carleton C		3rd	3rd	3rd	3rd	3rd	1st	4th	2nd	4th	10	1341	1	1	5	0
218	Wollongong A		4th	4th	2nd	3rd	1st	3rd	4th	3rd	2nd	10	1339	1	2	3	0
219	Kansas A		3rd	3rd	4th	2nd	3rd	3rd	4th	2nd	2nd	10	1339	0	3	4	0
220	Wheaton A		3rd	3rd	3rd	3rd	1st	3rd	4th	3rd	3rd	10	1338	1	0	7	0
221	Reichman B	ESL	3rd	4th	4th	2nd	2nd	3rd	1st	3rd	4th	10	1334	1	2	3	0
222	UC Berkeley A		3rd	4th	4th	1st	3rd	3rd	1st	4th	3rd	10	1327	2	0	4	0
223	Middlebury B		4th	4th	2nd	2nd	4th	3rd	1st	3rd	3rd	10	1319	1	2	3	0
224	Nottingham C		4th	3rd	4th	1st	1st	4th	4th	1st	4th	10	1313	3	0	1	0
225	Khartoum A	ESL	4th	2nd	4th	—	4th	4th	1st	1st	2nd	10	1169	2	2	0	0
226	Bucharest B	ESL	2nd	4th	2nd	2nd	4th	4th	2nd	3rd	4th	9	1359	0	4	1	0
227	OUI A	ESL	4th	2nd	4th	3rd	1st	2nd	3rd	4th	4th	9	1351	1	2	2	0
228	BGU A	ESL	4th	3rd	3rd	2nd	2nd	3rd	4th	3rd	3rd	9	1348	0	2	5	0
229	Swarthmore B		3rd	3rd	4th	1st	4th	4th	2nd	3rd	3rd	9	1345	1	1	4	0
230	Swarthmore C		3rd	4th	2nd	1st	4th	3rd	4th	2nd	4th	9	1333	1	2	2	1
231	Colgate B		4th	3rd	3rd	4th	3rd	4th	1st	2nd	3rd	9	1333	1	1	4	0
232	Fordham B		4th	2nd	2nd	4th	2nd	4th	2nd	3rd	4th	9	1321	0	4	1	0
233	Hong Kong B		4th	2nd	4th	1st	3rd	4th	2nd	4th	3rd	9	1320	1	2	2	0
234	BUET D	ESL, EFL	4th	3rd	3rd	1st	3rd	2nd	4th	3rd	4th	9	1312	1	1	4	0
235	Nottingham B		2nd	4th	2nd	4th	3rd	4th	2nd	4th	2nd	9	1311	0	4	1	0
236	Vermont B		4th	3rd	4th	4th	2nd	3rd	4th	2nd	1st	9	1300	1	2	2	0
237	Aberdeen A		4th	4th	1st	1st	3rd	4th	3rd	4th	4th	8	1352	2	0	2	0
